ID,text,ground truth
3,"So yeah, like a couple of months back  , thirty-first of July, I was doing some paperwork at, at work, and I was kind of rushing through it and I managed to staple my thumb it was fine, I managed to get it out, but it went a bit swollen and a bit ‘eugh’.  So ended up, well I called the 111 service first, and they said like it, it’s, it’s pretty minor I felt, but they they said yeah, they said to go there, just go to the hospital and get it checked out just in case.  So I did that, it like, I was waiting for about   like two hours in the waiting room, just to be in the actual doctor’s room.  About like fifteen minutes just to get it sorted.  Yeah, and they just basically cleaned it up, cleaned it up for me and gave me some antibiotics.  Yeah, that was, was it. ",0
5,"OK, I sang in Lichfield Cathedral for a weekend.  I travelled up on the Friday, I stayed overnight in a friend’s house and then   , the rest of the choir joined me.  I sing with a choir from London, and they came up from London and joined me at Lichfield; and we dress up with robes and   , academic hoods and all sorts of things, and I sang the services on the Saturday evening, Sunday morning and Sunday afternoon.  So singing a service entails religious service, so we just provide the music to the service, so we just come and sing, basically and that’s it, and then I went home.",1
8,"So, I have these piano lessons with my piano teacher and she has, she also does this choir, choir, and they were asked to perform in front of like this crowd of people, ’cos it’s like a competition thing; and I normally do piano competitions in there so I was quite familiar with the area.  She said, she said that I, I would be alright for like the bass ’cos I’ve quite a low voice, so I said ‘Yeah’.  Yeah About singing in the cathedral, in Ryde.  Is that it?  yeah, so it’s in Ryde, on the Isle of Wight, it’s called All Saints Cathedral.  ",0
9,"Yeah.  So basically it was just a TV competition, and it was about asking sort of whether, like who would win a, for best reality TV; and I voted on ‘Love Island’ and then they actually like came through so I won two hundred and fifty pounds towards it That was it really So is it I have to tell you more about it?  that’s a no, like I literally, I like betted on it, and then I think it was like five pound I betted, and then I got two hundred and fifty pound out of it, so Yeah",0
14,"So it was for after college, and it was held at the college, so they did it in like the big hall, and it was quite a formal event.  So we all got dressed up and we went, and there was food and music, and    Yeah, that was it really. ",0
19,"Oh, so around that time I was in sixth form and I had a friend called Summer, and we like both knew this girl that went to another sixth form called Little Heath, and she was like a new driver.  So she came to see us one time when we had a free period, and then she came and like all her other friends were in her car.  There wasn’t like much space in the car, but then like me and Summer went in the car anyway; and then like she was driving really fast, like she almost hit a bike Like she was driving generally really fast, and then like I was laughing but I was scared at the same time Like it was generally quite crazy, but yeah, that was it.  It’s a bit mad.  Probably shouldn’t have got in the car, but   why not",1
23,"OK, so it was my housemate and she had come back from a night out in the morning, and she had no phone.  and she had been in contact with the Police but they weren’t very helpful, and they just said they couldn’t trace a phone.  But uh, we had the ‘Find my iPhone’ app, and we used the details on my computer to trace her phone, and we managed to locate it     , to somewhere within Portsmouth and We then told the Police and the Police accompanied us to the location, and we managed to get her phone back.  Yeah.",1
24,"OK, so last week - no last year, sorry, I was going with my friends to watch a film and we decided we were going to take a short cut in like a back alleyway, and while like, these two guys on a motorbike just went past us, like stopped, like stopped us from going further, and then took one of our friends’ phones.  And I think the first thing we did, we were shocked, and then just decided to call the Police and see what we could do to like get it back, and luckily he had the ‘Find my iPhone’ app, so we traced that and yeah, they got it back.",0
31,"Well it happened just after I had finished work, so it was around about five o’clock in the evening when I was just leaving the office.    , and I came out and I saw two people having an altercation, something heated but I couldn’t hear; and then all of a sudden one of them whipped out a long pipe of some description and hit the other one across the head, and ran.  And as soon as that happened I heard, I heard sirens in the distance and people were starting to crowd around the body, and it all got a bit much after that, so yeah",0
33,"So, I was going to New York for the weekend and we landed in...  Think it was JFK but I’m not a hundred percent, and we were waiting for about an hour for the bag to come through the carousel, and it turns out that they never put it on the plane.  It was just sitting on the tarmac in London, so we ended up having to kind of get things together; we were only there for the weekend.  So it basically meant that I had to wear the same clothes for like three days in June in New York which is horrific.  and it was just a bit of a nightmare, in the sense that we didn’t actually get the bag back until the night before we were leaving, and we were told that we would get it back maybe the morning of the day after we were there.  yeah. ",1
